homeTeamStats,awayTeamStats,Stat,id
4.0,6.0,Corners,93618
4.0,0.0,Offsides,93618
1.0,1.0,Yellow cards,93618
14.0,12.0,Fouls conceded,93618
1.0,1.0,Goal,93618
26.4,73.6,Possession %,93619
4.0,9.0,Shots on target,93619
8.0,24.0,Shots,93619
397.0,784.0,Touches,93619
215.0,592.0,Passes,93619
19.0,9.0,Tackles,93619
40.0,13.0,Clearances,93619
2.0,15.0,Corners,93619
2.0,0.0,Offsides,93619
4.0,1.0,Yellow cards,93619
10.0,13.0,Fouls conceded,93619
3.0,3.0,Goal,93619
69.6,30.4,Possession %,93620
4.0,3.0,Shots on target,93620
17.0,7.0,Shots,93620
790.0,435.0,Touches,93620
610.0,255.0,Passes,93620
16.0,12.0,Tackles,93620
13.0,22.0,Clearances,93620
3.0,6.0,Corners,93620
1.0,1.0,Offsides,93620
3.0,4.0,Yellow cards,93620
16.0,14.0,Fouls conceded,93620
2.0,1.0,Goal,93620
48.3,51.7,Possession %,93611
5.0,3.0,Shots on target,93611
11.0,13.0,Shots,93611
573.0,607.0,Touches,93611
408.0,439.0,Passes,93611
16.0,24.0,Tackles,93611
9.0,12.0,Clearances,93611
5.0,4.0,Corners,93611
1.0,2.0,Offsides,93611
3.0,4.0,Yellow cards,93611
11.0,19.0,Fouls conceded,93611
2.0,0.0,Goal,93611
47.3,52.7,Possession %,93613
5.0,5.0,Shots on target,93613
31.0,11.0,Shots,93613
595.0,673.0,Touches,93613
377.0,450.0,Passes,93613
16.0,14.0,Tackles,93613
13.0,44.0,Clearances,93613
14.0,4.0,Corners,93613
1.0,2.0,Offsides,93613
3.0,2.0,Yellow cards,93613
7.0,14.0,Fouls conceded,93613
1.0,1.0,Goal,93613
30.6,69.4,Possession %,93609
5.0,5.0,Shots on target,93609
13.0,13.0,Shots,93609
461.0,801.0,Touches,93609
264.0,640.0,Passes,93609
13.0,14.0,Tackles,93609
25.0,16.0,Clearances,93609
7.0,10.0,Corners,93609
4.0,2.0,Offsides,93609
3.0,3.0,Yellow cards,93609
13.0,12.0,Fouls conceded,93609
1.0,1.0,Goal,93609
60.5,39.5,Possession %,93603
6.0,5.0,Shots on target,93603
17.0,9.0,Shots,93603
648.0,482.0,Touches,93603
457.0,292.0,Passes,93603
10.0,27.0,Tackles,93603
17.0,24.0,Clearances,93603
5.0,4.0,Corners,93603
5.0,3.0,Offsides,93603
2.0,4.0,Yellow cards,93603
0.0,1.0,Red cards,93603
14.0,17.0,Fouls conceded,93603
2.0,1.0,Goal,93603
59.7,40.3,Possession %,93607
4.0,6.0,Shots on target,93607
10.0,16.0,Shots,93607
631.0,473.0,Touches,93607
440.0,297.0,Passes,93607
8.0,25.0,Tackles,93607
13.0,22.0,Clearances,93607
6.0,7.0,Corners,93607
1.0,2.0,Offsides,93607
1.0,2.0,Yellow cards,93607
10.0,17.0,Fouls conceded,93607
1.0,1.0,Goal,93607
42.9,57.1,Possession %,93606
7.0,5.0,Shots on target,93606
16.0,14.0,Shots,93606
590.0,735.0,Touches,93606
400.0,546.0,Passes,93606
20.0,12.0,Tackles,93606
8.0,20.0,Clearances,93606
4.0,5.0,Corners,93606
2.0,4.0,Offsides,93606
2.0,3.0,Yellow cards,93606
9.0,10.0,Fouls conceded,93606
3.0,0.0,Goal,93606
59.1,40.9,Possession %,93482
10.0,4.0,Shots on target,93482
24.0,8.0,Shots,93482
677.0,505.0,Touches,93482
438.0,310.0,Passes,93482
17.0,17.0,Tackles,93482
18.0,35.0,Clearances,93482
11.0,3.0,Corners,93482
1.0,1.0,Offsides,93482
1.0,2.0,Yellow cards,93482
16.0,11.0,Fouls conceded,93482
4.0,3.0,Goal,93482
45.0,55.0,Possession %,93595
8.0,3.0,Shots on target,93595
12.0,11.0,Shots,93595
622.0,734.0,Touches,93595
432.0,512.0,Passes,93595
33.0,17.0,Tackles,93595
18.0,8.0,Clearances,93595
